cut,ano,mes,observed_trailing_12m,expected_trailing_12m,raw_ratio,applied_ratio,n_eligible_municipios,n_test_rows
2018-01,2018,1,545.0,683.4285714285714,0.8233041575492341,0.8233041575492341,36,36
2018-02,2018,2,549.0,682.9095238095238,0.8289591329047327,0.8289591329047327,36,36
2018-03,2018,3,549.0,682.7333333333333,0.8291457286432161,0.8291457286432161,36,36
2018-04,2018,4,549.0,682.6571428571428,0.8292264447121528,0.8292264447121528,36,36
2018-05,2018,5,548.0,682.6761904761904,0.8279285966342586,0.8279285966342586,36,36
2018-06,2018,6,549.0,682.6904761904763,0.8291911294983725,0.8291911294983725,36,36
2018-07,2018,7,550.0,682.8142857142857,0.8303374272314178,0.8303374272314178,36,36
2018-08,2018,8,550.0,682.6095238095238,0.8305546766617178,0.8305546766617178,36,36
2018-09,2018,9,527.0,682.7190476190476,0.8010537138546338,0.8010537138546338,36,36
2018-10,2018,10,529.0,681.4190476190477,0.8049458250557593,0.8049458250557593,36,36
2018-11,2018,11,382.0,675.2952380952381,0.6216986462914281,0.6216986462914281,36,36
2018-12,2018,12,369.0,666.3285714285714,0.6120090226124564,0.6120090226124564,36,36
2019-01,2019,1,328.0,659.7333333333333,0.5633555633555634,0.5633555633555634,36,36
2019-02,2019,2,324.0,659.0291666666666,0.5586083099573469,0.5586083099573469,36,36
2019-03,2019,3,326.0,659.0,0.5612648221343873,0.5612648221343873,36,36
2019-04,2019,4,327.0,658.9958333333334,0.5625854336047079,0.5625854336047079,36,36
2019-05,2019,5,326.0,658.95,0.561301798537453,0.561301798537453,36,36
2019-06,2019,6,326.0,658.9625,0.5612925539799397,0.5612925539799397,36,36
2019-07,2019,7,326.0,659.0708333333333,0.561212447235381,0.561212447235381,36,36
2019-08,2019,8,327.0,658.9541666666667,0.5626163196064761,0.5626163196064761,36,36
2019-09,2019,9,340.0,659.8625,0.5790521311421475,0.5790521311421475,36,36
2019-10,2019,10,365.0,660.2874999999999,0.6116107393584664,0.6116107393584664,36,36
2019-11,2019,11,436.0,659.3666666666666,0.7058513673675433,0.7058513673675433,36,36
2019-12,2019,12,468.0,653.5208333333333,0.7537946860571209,0.7537946860571209,36,36
2020-01,2020,1,536.0,652.0,0.8457446808510638,0.8457446808510638,36,36
2020-02,2020,2,538.0,651.4963235294117,0.8489728825333771,0.8489728825333771,36,36
2020-03,2020,3,536.0,651.3529411764706,0.8464730290456431,0.8464730290456431,36,36
2020-04,2020,4,535.0,651.2904411764706,0.8452124041477653,0.8452124041477653,36,36
2020-05,2020,5,535.0,651.25,0.8452579034941764,0.8452579034941764,36,36
2020-06,2020,6,537.0,651.3786764705883,0.8477749235474006,0.8477749235474006,36,36
2020-07,2020,7,542.0,651.7683823529412,0.8539864339474083,0.8539864339474083,36,36
2020-08,2020,8,551.0,652.1948529411764,0.8654672355899649,0.8654672355899649,36,36
2020-09,2020,9,539.0,652.2904411764705,0.8494059807548517,0.8494059807548517,36,36
2020-10,2020,10,547.0,653.1360294117646,0.8590745559010609,0.8590745559010609,36,36
2020-11,2020,11,548.0,652.3823529411765,0.8612642195379383,0.8612642195379383,36,36
2020-12,2020,12,551.0,647.4007352941176,0.8710186774753682,0.8710186774753682,36,36
2021-01,2021,1,551.0,646.0588235294117,0.872585350469132,0.872585350469132,36,36
2021-02,2021,2,561.0,646.1666666666666,0.8858610676792495,0.8858610676792495,36,36
2021-03,2021,3,566.0,646.3169934640523,0.8923821992967644,0.8923821992967644,36,36
2021-04,2021,4,568.0,646.3725490196077,0.8949954026008146,0.8949954026008146,36,36
2021-05,2021,5,568.0,646.3366013071894,0.8950385105460661,0.8950385105460661,36,36
2021-06,2021,6,571.0,646.6176470588235,0.8987197163679338,0.8987197163679338,36,36
2021-07,2021,7,576.0,647.2418300653595,0.9046602756979917,0.9046602756979917,36,36
2021-08,2021,8,573.0,647.454248366013,0.9003895575832566,0.9003895575832566,36,36
2021-09,2021,9,582.0,648.0392156862745,0.9117169069462648,0.9117169069462648,36,36
2021-10,2021,10,616.0,650.6797385620915,0.9538022184686645,0.9538022184686645,36,36
2021-11,2021,11,683.0,653.7320261437908,1.0388307420157648,1.0388307420157648,36,36
2021-12,2021,12,719.0,651.3039215686275,1.090104785144781,1.090104785144781,36,36
2022-01,2022,1,665.0,647.1111111111112,1.0239440809042235,1.0239440809042235,36,36
2022-02,2022,2,643.0,646.0497076023391,0.9959121924836076,0.9959121924836076,36,36
2022-03,2022,3,639.0,645.9736842105264,0.9906515680671676,0.9906515680671676,36,36
2022-04,2022,4,637.0,645.9181286549708,0.9880440918213748,0.9880440918213748,36,36
2022-05,2022,5,637.0,645.8859649122808,0.9880866977925696,0.9880866977925696,36,36
2022-06,2022,6,638.0,646.1900584795321,0.9890241656445805,0.9890241656445805,36,36
2022-07,2022,7,627.0,646.1695906432749,0.9743093381402093,0.9743093381402093,36,36
2022-08,2022,8,630.0,646.5175438596491,0.9778738704863519,0.9778738704863519,36,36
2022-09,2022,9,629.0,646.9883040935673,0.9759188945864484,0.9759188945864484,36,36
2022-10,2022,10,581.0,646.8245614035087,0.911860743733703,0.911860743733703,36,36
2022-11,2022,11,612.0,651.187134502924,0.9478330595626416,0.9478330595626416,36,36
2022-12,2022,12,611.0,648.9619883040936,0.9493138651935428,0.9493138651935428,36,36
2023-01,2023,1,660.0,647.7894736842105,1.0163288288288288,1.0163288288288288,36,36
2023-02,2023,2,667.0,647.1842105263158,1.026520621279893,1.026520621279893,36,36
2023-03,2023,3,673.0,647.4157894736843,1.034230224844904,1.034230224844904,36,36
2023-04,2023,4,677.0,647.5657894736842,1.039373404910675,1.039373404910675,36,36
2023-05,2023,5,678.0,647.5868421052631,1.0406817725805486,1.0406817725805486,36,36
2023-06,2023,6,675.0,647.7105263157895,1.0364973779607927,1.0364973779607927,36,36
2023-07,2023,7,679.0,647.8921052631579,1.0415940942790087,1.0415940942790087,36,36
2023-08,2023,8,699.0,649.2052631578948,1.066463410350617,1.066463410350617,36,36
2023-09,2023,9,719.0,650.628947368421,1.0910850199306548,1.0910850199306548,36,36
2023-10,2023,10,900.0,659.5315789473684,1.3166009521103728,1.3166009521103728,36,36
2023-11,2023,11,1051.0,671.007894736842,1.4928511210548054,1.4928511210548054,36,36
2023-12,2023,12,1154.0,674.1552631578948,1.6198301034404223,1.6198301034404223,36,36
2024-01,2024,1,1175.0,674.15,1.6469676419298587,1.6469676419298587,36,36
2024-02,2024,2,1208.0,675.1738095238095,1.6873635098733617,1.6873635098733617,36,36
2024-03,2024,3,1212.0,675.5738095238095,1.6916507286463787,1.6916507286463787,36,36
2024-04,2024,4,1210.0,675.6142857142858,1.6889838469047573,1.6889838469047573,36,36
2024-05,2024,5,1211.0,675.6809523809524,1.6901278753537599,1.6901278753537599,36,36
2024-06,2024,6,1223.0,676.3642857142856,1.704096935348833,1.704096935348833,36,36
2024-07,2024,7,1228.0,676.7666666666667,1.709651117881818,1.709651117881818,36,36
2024-08,2024,8,1217.0,677.4309523809524,1.6940411183354211,1.6940411183354211,36,36
2024-09,2024,9,1225.0,679.1,1.7006802721088434,1.7006802721088434,36,36
2024-10,2024,10,1044.0,678.5357142857143,1.4694252029909627,1.4694252029909627,36,36
2024-11,2024,11,1015.0,687.5380952380953,1.4158045264628165,1.4158045264628165,36,36
2024-12,2024,12,1098.0,694.3380952380952,1.5081739213840815,1.5081739213840815,36,36
