cut,ano,mes,model,n,wape,mae,rmse,y_sum,pred_sum
2023-03,2023,3,historical_mean_3y,31,1.2000000000000002,0.19354838709677422,0.42333375666730166,5.0,1.0
2023-03,2023,3,xgboost_poisson_flat,31,1.2312898124252427,0.19859513103632948,0.3753074364488241,5.0,2.0758749800535456
2023-03,2023,3,xgboost_poisson_municipal,31,1.2378370912824737,0.19965114375523768,0.38423964129424515,5.0,2.078311128297846
2023-03,2023,3,glm_poisson,31,1.8541196958188912,0.29905156384175663,0.37368146951549813,5.0,6.212463501381321
2023-03,2023,3,tweedie_p1.5,31,1.5572268216017826,0.2511656163873843,0.37009768031017776,5.0,4.085083741412976
2023-03,2023,3,random_forest_100,31,1.1752884051725696,0.18956264599557573,0.3857905479463331,5.0,1.3508296284877241
2023-04,2023,4,naive_lag12,31,1.0,0.06451612903225806,0.3592106040535498,2.0,0.0
2023-04,2023,4,climatology_municipal,31,1.3421052631578947,0.0865874363327674,0.3538218262470533,2.0,0.7894736842105261
2023-04,2023,4,climatology_state,31,1.3692699490662135,0.08833999671394925,0.3555204213415348,2.0,0.7894736842105264
2023-04,2023,4,historical_mean_3y,31,1.0,0.06451612903225806,0.3592106040535498,2.0,0.0
2023-04,2023,4,xgboost_poisson_flat,31,1.5713637872034523,0.10137830885183563,0.3482699626155274,2.0,1.2983107357497468
2023-04,2023,4,xgboost_poisson_municipal,31,1.3230038215750353,0.0853550852629055,0.35000383137544083,2.0,0.7624867118848097
2023-04,2023,4,glm_poisson,31,2.85831613728419,0.18440749272801227,0.3598600228929345,2.0,3.963632771092874
2023-04,2023,4,tweedie_p1.5,31,2.2808949409967045,0.14715451232236804,0.3536820667033274,2.0,2.7448161645998677
2023-04,2023,4,random_forest_100,31,1.579428639933888,0.10189862193121858,0.35426637299430186,2.0,1.259330702585739
2023-05,2023,5,naive_lag12,31,1.6666666666666667,0.16129032258064516,0.47519096331149147,3.0,2.0
2023-05,2023,5,climatology_municipal,31,1.5964912280701755,0.15449915110356538,0.4117173962424822,3.0,1.7894736842105263
2023-05,2023,5,climatology_state,31,1.5195246179966047,0.1470507694835424,0.39172684472136676,3.0,1.789473684210527
2023-05,2023,5,historical_mean_3y,31,2.555555555555556,0.24731182795698925,0.5584155773160767,3.0,4.666666666666667
2023-05,2023,5,xgboost_poisson_flat,31,1.5953819538640568,0.1543918019868442,0.3965559312547257,3.0,2.0091311303415127
2023-05,2023,5,xgboost_poisson_municipal,31,1.478067348512054,0.14303877566245682,0.39281052101363756,3.0,1.6764323010929445
2023-05,2023,5,glm_poisson,31,2.157152085067299,0.20875665339360958,0.38950733345060573,3.0,4.013795163252389
2023-05,2023,5,tweedie_p1.5,31,1.8412965739114944,0.178189991023693,0.38873836432496833,3.0,2.9207335333814126
2023-05,2023,5,random_forest_100,31,1.349136942180719,0.13056163956587602,0.3982429105580457,3.0,1.1664760962658869
2023-06,2023,6,naive_lag12,31,3.0,0.3870967741935484,1.0776318121606494,4.0,10.0
2023-06,2023,6,climatology_municipal,31,1.842105263157895,0.2376910016977929,0.4613562737134832,4.0,4.105263157894737
2023-06,2023,6,climatology_state,31,1.8276740237690996,0.23582890629278705,0.42060741015590075,4.0,4.105263157894737
2023-06,2023,6,historical_mean_3y,31,2.7499999999999996,0.3548387096774193,0.6639730529575454,4.0,9.666666666666668
