geocodigo,municipio,uf,area_municipal_km2,area_intersect_apa_km2,pct_area_municipal_na_apa,source_boundary,source_boundary_version,boundary_sha256,ibge_mesh_version,rule
2309201,Nova Olinda,CE,282.61072,155.229567,54.927,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2605301,Exu,PE,1336.827543,676.647045,50.6159,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2210706,Simões,PI,1076.120274,531.942832,49.4315,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2301901,Barbalha,CE,608.250523,278.945873,45.8604,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2204303,Fronteiras,PI,777.168114,353.872555,45.5336,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2304202,Crato,CE,1138.06943,487.042932,42.7955,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2602001,Bodocó,PE,1621.620241,647.976188,39.9586,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2308401,Missão Velha,CE,613.257517,217.120236,35.4044,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2614303,Moreilândia,PE,404.342557,123.69843,30.5925,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2200277,Alegrete do Piauí,PI,243.76638,67.987408,27.8904,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2300606,Altaneira,CE,72.607998,16.235851,22.361,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2204154,Francisco Macedo,PI,179.273405,38.869149,21.6815,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2302701,Campos Sales,CE,1082.604387,221.106846,20.4236,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2300101,Abaiara,CE,180.830565,36.478506,20.1728,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2615607,Trindade,PE,295.65965,40.842386,13.814,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2203271,Curral Novo do Piauí,PI,755.233479,78.271804,10.3639,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2301604,Assaré,CE,1155.070491,108.815832,9.4207,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
