cut,ano,mes,wape_baseline,wape_candidate,y_total,candidate_wins
2022-10,2022,10,0.5380316854159382,0.5212786125929839,242.0,True
2022-11,2022,11,0.5903711940610152,0.4529000336682472,229.0,True
2022-12,2022,12,0.5967386289345704,0.4890693648970557,211.0,True
2023-01,2023,1,1.8328173374613002,1.5974713884409852,17.0,True
2023-02,2023,2,1.3976608187134503,1.3511024896538948,9.0,True
2023-03,2023,3,1.2947368421052632,1.2623853071851052,5.0,True
2023-04,2023,4,1.3421052631578947,1.305469041752599,2.0,True
2023-05,2023,5,1.5964912280701755,1.5336900087188816,3.0,True
2023-06,2023,6,1.842105263157895,1.7541839326756303,4.0,True
2023-07,2023,7,1.0545864661654134,1.0422995154998675,35.0,True
2023-08,2023,8,0.7237629858961128,0.7300929976269087,50.0,False
2023-09,2023,9,0.6444994401828225,0.6596376375979456,157.0,False
2023-10,2023,10,0.659911853874702,0.6634659071298333,407.0,False
2023-11,2023,11,0.3444137194676924,0.3669285521794489,337.0,False
2023-12,2023,12,0.355262549539475,0.3853494076407332,311.0,False
2024-01,2024,1,0.6616438356164384,0.6487152126910094,73.0,True
2024-02,2024,2,1.2950000000000004,1.4012250888468734,10.0,False
2024-03,2024,3,1.4874999999999996,1.663382259569801,4.0,False
2024-04,2024,4,1.0699999999999998,1.0951849651680856,5.0,False
2024-05,2024,5,1.1136363636363635,1.1548027326881696,11.0,False
2024-06,2024,6,1.0874999999999997,1.1197860354723015,16.0,False
2024-07,2024,7,1.3944444444444446,1.6071957826787433,12.0,False
2024-08,2024,8,0.7343411438649533,0.7215296342765644,63.0,True
2024-09,2024,9,0.650139623750735,0.6497429879118122,108.0,True
2024-10,2024,10,0.524134598488842,0.4870970987638126,271.0,True
2024-11,2024,11,0.4902975192448877,0.45528371561462105,429.0,True
2024-12,2024,12,0.457253774121989,0.4730769785051013,383.0,False
