name,alpha,window,fold,coverage,worst_uf,mean_width
rolling_mondrian_36,0.03,36.0,2023,0.9444444444444444,0.9166666666666666,6.957694948359482
rolling_mondrian_36,0.03,36.0,2024,0.9490740740740741,0.9270833333333334,7.961607886052031
rolling_mondrian_48,0.03,48.0,2021,0.9351851851851852,0.8854166666666666,5.0084933223453865
rolling_mondrian_48,0.03,48.0,2022,0.9675925925925926,0.9629629629629629,5.405616393460854
rolling_mondrian_48,0.03,48.0,2023,0.9351851851851852,0.90625,6.38038968439908
rolling_mondrian_48,0.03,48.0,2024,0.9375,0.925,7.522234264375917
normalized_expanding,0.03,,2021,0.9513888888888888,0.9479166666666666,5.619850595001922
normalized_expanding,0.03,,2022,0.9606481481481481,0.9490740740740741,5.67261979136689
normalized_expanding,0.03,,2023,0.9189814814814815,0.9166666666666666,6.59861926581017
normalized_expanding,0.03,,2024,0.9236111111111112,0.9166666666666666,7.9465208256851225
normalized_rolling_36,0.03,36.0,2021,0.9513888888888888,0.9270833333333334,5.8886258324258725
normalized_rolling_36,0.03,36.0,2022,0.9675925925925926,0.9583333333333334,6.142010169544616
normalized_rolling_36,0.03,36.0,2023,0.9398148148148148,0.9259259259259259,7.723318670865642
normalized_rolling_36,0.03,36.0,2024,0.9513888888888888,0.9270833333333334,10.137841695452654
adaptive_aci_expanding,0.03,,2021,0.9421296296296297,0.8958333333333334,5.26277639576008
adaptive_aci_expanding,0.03,,2022,0.9606481481481481,0.9583333333333334,5.278038811541368
adaptive_aci_expanding,0.03,,2023,0.9259259259259259,0.875,6.141481407614581
adaptive_aci_expanding,0.03,,2024,0.9236111111111112,0.9166666666666666,6.8154847089082065
expanding_mondrian,0.02,,2021,0.9583333333333334,0.9270833333333334,5.773554886512455
expanding_mondrian,0.02,,2022,0.9791666666666666,0.975,5.974568302868318
expanding_mondrian,0.02,,2023,0.9421296296296297,0.8958333333333334,6.693164403271062
expanding_mondrian,0.02,,2024,0.9351851851851852,0.9166666666666666,7.431530380618065
rolling_mondrian_24,0.02,24.0,2021,0.9629629629629629,0.9166666666666666,5.902508353494568
rolling_mondrian_24,0.02,24.0,2022,0.9837962962962963,0.975,6.983528027269669
rolling_mondrian_24,0.02,24.0,2023,0.9629629629629629,0.9270833333333334,8.299397124900265
rolling_mondrian_24,0.02,24.0,2024,0.9722222222222222,0.9583333333333334,9.482843823916467
rolling_mondrian_36,0.02,36.0,2021,0.9560185185185185,0.90625,5.768384623083223
rolling_mondrian_36,0.02,36.0,2022,0.9837962962962963,0.975,6.590148877115592
rolling_mondrian_36,0.02,36.0,2023,0.9513888888888888,0.9270833333333334,7.853112430740775
rolling_mondrian_36,0.02,36.0,2024,0.9652777777777778,0.9583333333333334,9.07079752054676
rolling_mondrian_48,0.02,48.0,2021,0.9583333333333334,0.9375,5.926049455345941
rolling_mondrian_48,0.02,48.0,2022,0.9768518518518519,0.975,6.4676494337607044
rolling_mondrian_48,0.02,48.0,2023,0.9537037037037037,0.9375,7.339716550055913
rolling_mondrian_48,0.02,48.0,2024,0.9652777777777778,0.9479166666666666,8.71283400548791
normalized_expanding,0.02,,2021,0.9652777777777778,0.9479166666666666,6.763683411769439
normalized_expanding,0.02,,2022,0.9768518518518519,0.9722222222222222,6.580527484674492
normalized_expanding,0.02,,2023,0.9490740740740741,0.9444444444444444,7.742082121598237
normalized_expanding,0.02,,2024,0.9513888888888888,0.9416666666666667,9.632241510283846
normalized_rolling_36,0.02,36.0,2021,0.9652777777777778,0.9583333333333334,7.495469208975748
normalized_rolling_36,0.02,36.0,2022,0.9791666666666666,0.9768518518518519,7.757268285509304
normalized_rolling_36,0.02,36.0,2023,0.9537037037037037,0.9398148148148148,8.629513945142703
normalized_rolling_36,0.02,36.0,2024,0.9675925925925926,0.9583333333333334,11.216101638578575
adaptive_aci_expanding,0.02,,2021,0.9583333333333334,0.9270833333333334,5.84370645271133
adaptive_aci_expanding,0.02,,2022,0.9768518518518519,0.975,5.967184902322613
adaptive_aci_expanding,0.02,,2023,0.9490740740740741,0.90625,6.97971959637603
adaptive_aci_expanding,0.02,,2024,0.9398148148148148,0.9166666666666666,7.844164034372279
